amt,gender,city_pop,age,trans_month,trans_year,latitudinal_distance,longitudinal_distance,category_food_dining,category_gas_transport,category_grocery_net,category_grocery_pos,category_health_fitness,category_home,category_kids_pets,category_misc_net,category_misc_pos,category_personal_care,category_shopping_net,category_shopping_pos,category_travel
511.02,0,203571,753062400000000000,10,2019,0.847,0.304,False,False,False,False,False,False,False,False,False,False,False,False,False
20.8,0,71485,1437177600000000000,2,2020,0.964,0.417,False,False,False,False,True,False,False,False,False,False,False,False,False
917.12,0,4984,2116886400000000000,12,2019,0.744,0.207,False,False,False,False,False,False,False,True,False,False,False,False,False
37.43,1,1892,1998777600000000000,7,2019,0.355,0.995,False,False,False,False,False,False,False,True,False,False,False,False,False
137.06,0,186140,1154304000000000000,9,2019,0.976,0.614,False,False,False,False,False,False,False,False,True,False,False,False,False
4.41,1,124967,1217203200000000000,7,2019,0.073,0.725,False,False,False,False,False,True,False,False,False,False,False,False,False
1083.3,1,9506,2097792000000000000,10,2019,0.113,0.134,False,False,False,False,False,False,False,False,False,False,False,True,False
10.0,0,1420,1705190400000000000,11,2019,0.87,0.479,False,False,False,False,False,False,True,False,False,False,False,False,False
48.14,1,1979,1541635200000000000,1,2019,0.525,0.332,False,False,False,False,False,False,False,False,False,True,False,False,False
893.06,0,12626,728697600000000000,2,2019,0.918,0.054,False,False,False,False,False,False,False,True,False,False,False,False,False
59.06,0,248,1613606400000000000,7,2019,0.607,0.744,False,False,False,False,False,True,False,False,False,False,False,False,False
72.82,0,3495,993600000000000000,9,2019,0.885,0.895,False,False,False,False,False,False,False,False,False,True,False,False,False
10.46,1,478404,2472336000000000000,3,2019,0.534,0.17,False,True,False,False,False,False,False,False,False,False,False,False,False
324.59,1,128715,774230400000000000,12,2019,0.055,0.979,False,False,False,True,False,False,False,False,False,False,False,False,False
287.0,1,2906700,1794960000000000000,1,2019,0.195,0.085,False,False,False,True,False,False,False,False,False,False,False,False,False
184.38,0,217,937785600000000000,10,2019,0.875,0.131,False,False,False,False,False,False,False,False,False,False,False,True,False
202.12,0,165,2322691200000000000,4,2019,0.83,0.724,False,False,False,False,False,False,False,False,False,False,True,False,False
306.45,0,2078,1789862400000000000,3,2020,0.668,0.429,False,False,False,True,False,False,False,False,False,False,False,False,False
1.63,0,2504700,640915200000000000,12,2019,0.306,0.234,False,False,False,False,False,False,False,False,False,False,False,True,False
247.55,1,1263321,1912204800000000000,1,2020,0.206,0.069,False,False,False,True,False,False,False,False,False,False,False,False,False
114.27,1,254282,2142374400000000000,12,2019,0.422,0.93,False,False,False,True,False,False,False,False,False,False,False,False,False
8.93,0,2148,2086905600000000000,7,2019,0.275,0.89,False,False,False,False,False,False,False,False,False,False,False,True,False
36.2,1,258,1836259200000000000,2,2020,0.645,0.163,False,False,False,False,False,True,False,False,False,False,False,False,False
265.22,1,914,2367532800000000000,8,2019,0.923,0.961,False,False,False,False,False,False,False,False,False,False,True,False,False
120.91,1,6284,2629756800000000000,7,2019,0.397,0.827,True,False,False,False,False,False,False,False,False,False,False,False,False
46.15,0,2401,1492905600000000000,4,2019,0.443,0.457,False,False,False,False,False,True,False,False,False,False,False,False,False
783.61,1,5548,1397174400000000000,12,2019,0.011,0.975,False,False,False,False,False,False,False,True,False,False,False,False,False
1066.06,0,34496,1542931200000000000,9,2019,0.457,0.196,False,False,False,False,False,False,False,False,False,False,True,False,False
17.94,1,1382480,890784000000000000,1,2019,0.426,0.01,False,False,False,False,True,False,False,False,False,False,False,False,False
812.69,1,3224,686016000000000000,5,2019,0.071,0.149,False,False,False,False,False,False,False,True,False,False,False,False,False
34.62,0,1131,1913500800000000000,12,2019,0.993,0.734,True,False,False,False,False,False,False,False,False,False,False,False,False
35.64,0,2054,1775088000000000000,11,2019,0.713,0.294,False,False,False,False,False,False,True,False,False,False,False,False,False
286.21,1,824,1420502400000000000,11,2019,0.396,0.445,False,False,False,True,False,False,False,False,False,False,False,False,False
7.04,1,7987,1754265600000000000,10,2019,0.674,0.005,False,True,False,False,False,False,False,False,False,False,False,False,False
12.16,1,639,1173312000000000000,10,2019,0.89,0.833,False,True,False,False,False,False,False,False,False,False,False,False,False
2.47,0,1213,904867200000000000,12,2019,0.119,0.982,False,False,False,False,False,False,True,False,False,False,False,False,False
2.2,0,78968,1618531200000000000,5,2019,0.358,0.682,False,False,False,False,False,False,False,True,False,False,False,False,False
3.49,0,166081,669168000000000000,12,2019,0.587,0.955,False,False,False,False,False,False,False,False,False,False,False,False,True
45.92,0,372,765504000000000000,10,2019,0.961,0.71,False,False,False,False,False,True,False,False,False,False,False,False,False
71.2,1,595,1248566400000000000,3,2019,0.206,0.814,False,True,False,False,False,False,False,False,False,False,False,False,False
14.72,1,55345,2248819200000000000,8,2019,0.982,0.162,False,True,False,False,False,False,False,False,False,False,False,False,False
18.66,1,741,1051488000000000000,12,2019,0.903,0.609,False,False,False,False,True,False,False,False,False,False,False,False,False
7.2,0,21134,1113955200000000000,6,2019,0.445,0.246,False,False,False,False,False,False,False,False,True,False,False,False,False
12.11,0,2158,1821484800000000000,3,2019,0.772,0.727,False,False,False,False,False,False,False,False,False,True,False,False,False
51.19,0,165556,663465600000000000,1,2019,0.98,0.304,False,True,False,False,False,False,False,False,False,False,False,False,False
9.86,1,389246,2544480000000000000,3,2019,0.663,0.1,False,True,False,False,False,False,False,False,False,False,False,False,False
22.55,1,206,1626048000000000000,4,2019,0.132,0.206,False,False,False,False,False,False,False,False,False,False,True,False,False
31.02,0,118,1945900800000000000,7,2019,0.405,0.442,False,False,False,False,True,False,False,False,False,False,False,False,False
18.05,0,77,919296000000000000,2,2019,0.714,0.28,False,False,False,False,True,False,False,False,False,False,False,False,False
24.94,0,3495,990489600000000000,7,2019,0.437,0.554,False,False,False,False,False,False,False,False,False,False,False,False,False
995.57,1,7322,2254003200000000000,10,2019,0.151,0.754,False,False,False,False,False,False,False,False,False,False,True,False,False
300.95,0,1274,2227564800000000000,10,2019,0.399,0.675,False,False,False,True,False,False,False,False,False,False,False,False,False
9.94,1,1414,1940112000000000000,8,2019,0.189,0.844,False,False,False,False,False,False,False,False,False,False,True,False,False
44.48,1,3833,1535328000000000000,6,2019,0.656,0.923,False,False,False,False,False,True,False,False,False,False,False,False,False
1.97,0,163415,467251200000000000,10,2019,0.57,0.227,True,False,False,False,False,False,False,False,False,False,False,False,False
53.11,1,238602,825206400000000000,7,2019,0.313,0.124,False,False,False,True,False,False,False,False,False,False,False,False,False
34.76,1,277,1706832000000000000,12,2019,0.014,0.783,False,False,False,False,False,False,False,False,False,True,False,False,False
176.73,0,84106,1540771200000000000,12,2019,0.849,0.607,False,False,False,True,False,False,False,False,False,False,False,False,False
799.88,0,2408,679708800000000000,1,2019,0.373,0.205,False,False,False,False,False,False,False,False,False,False,True,False,False
327.52,1,8512,2159136000000000000,2,2020,0.823,0.38,False,False,False,True,False,False,False,False,False,False,False,False,False
786.02,0,606,993600000000000000,3,2020,0.655,0.546,False,False,False,False,False,False,False,False,False,False,True,False,False
301.36,1,397,2759184000000000000,2,2019,0.577,0.748,False,False,False,True,False,False,False,False,False,False,False,False,False
899.14,1,8019,2891894400000000000,2,2020,0.437,0.418,False,False,False,False,False,False,False,False,False,False,False,True,False
290.88,1,1132,1836777600000000000,4,2019,0.599,0.017,False,False,False,True,False,False,False,False,False,False,False,False,False
844.8,1,885,956102400000000000,1,2019,0.007,0.472,False,False,False,False,False,False,False,False,False,False,True,False,False
347.91,0,18128,908668800000000000,8,2019,0.355,0.503,False,False,False,True,False,False,False,False,False,False,False,False,False
