amt,gender,city_pop,is_fraud,age,trans_month,trans_year,latitudinal_distance,longitudinal_distance,category_food_dining,category_gas_transport,category_grocery_net,category_grocery_pos,category_health_fitness,category_home,category_kids_pets,category_misc_net,category_misc_pos,category_personal_care,category_shopping_net,category_shopping_pos,category_travel
7.53,0,24536,0,1135900800000000000,10,2019,0.182,0.493,False,False,False,False,False,False,False,False,False,False,False,True,False
3.79,0,22305,0,2520460800000000000,1,2019,0.38,0.524,False,False,False,False,False,False,False,False,False,False,False,False,True
59.07,0,4720,0,1320624000000000000,3,2019,0.135,0.602,False,False,False,False,False,False,False,False,False,False,False,False,False
25.58,1,207,0,2026857600000000000,2,2020,0.537,0.736,False,False,False,False,False,False,False,False,False,True,False,False,False
84.96,0,3104,0,1197158400000000000,3,2019,0.553,0.241,False,False,False,False,False,False,False,False,False,True,False,False,False
20.59,0,13973,0,1221264000000000000,1,2020,0.867,0.278,False,False,False,False,False,False,False,False,False,False,False,True,False
7.75,1,937,0,1943481600000000000,11,2019,0.604,0.041,False,False,False,False,False,False,False,False,False,False,False,False,True
1.14,0,324,0,1370736000000000000,11,2019,0.469,0.14,False,False,False,False,False,False,False,True,False,False,False,False,False
98.47,0,736284,0,2134512000000000000,11,2019,0.249,0.116,False,False,False,True,False,False,False,False,False,False,False,False,False
124.61,0,67082,0,1568073600000000000,9,2019,0.448,0.964,False,False,False,True,False,False,False,False,False,False,False,False,False
103.95,1,1078,0,953769600000000000,12,2019,0.161,0.665,False,False,False,True,False,False,False,False,False,False,False,False,False
2.84,1,5211,0,1025049600000000000,7,2019,0.765,0.225,False,False,False,False,False,False,False,False,True,False,False,False,False
57.14,0,4542,0,685411200000000000,12,2019,0.723,0.043,False,True,False,False,False,False,False,False,False,False,False,False,False
33.63,0,163415,0,468201600000000000,11,2019,0.633,0.502,False,False,False,False,False,True,False,False,False,False,False,False,False
36.37,1,376,0,2548454400000000000,6,2019,0.621,0.55,False,False,False,False,False,False,False,False,False,True,False,False,False
94.28,1,95,0,795744000000000000,4,2019,0.472,0.55,False,False,False,True,False,False,False,False,False,False,False,False,False
40.6,0,242,0,1023580800000000000,12,2019,0.67,0.546,False,True,False,False,False,False,False,False,False,False,False,False,False
52.71,0,3688,0,1000857600000000000,7,2019,0.165,0.766,False,True,False,False,False,False,False,False,False,False,False,False,False
32.32,1,5211,0,1016064000000000000,4,2019,0.244,0.95,False,False,False,False,False,False,False,False,True,False,False,False,False
49.1,1,823,0,1180915200000000000,12,2019,0.188,0.8,False,False,False,False,False,False,True,False,False,False,False,False,False
38.52,1,828,0,1951257600000000000,6,2019,0.152,0.245,False,True,False,False,False,False,False,False,False,False,False,False,False
269.91,0,71485,0,1431907200000000000,12,2019,0.593,0.584,False,False,False,False,False,False,False,False,False,False,False,False,False
1314.9,1,248858,0,1541808000000000000,12,2019,0.365,0.649,False,False,False,False,False,False,False,False,False,False,False,False,True
100.91,0,37,0,1932854400000000000,4,2019,0.203,0.803,False,False,False,False,False,False,True,False,False,False,False,False,False
1.29,1,20328,0,1062201600000000000,2,2019,0.689,0.749,False,False,False,False,False,False,False,False,False,False,False,False,True
1.74,1,47249,0,1217635200000000000,6,2019,0.307,0.429,True,False,False,False,False,False,False,False,False,False,False,False,False
7.91,0,1577385,0,1209427200000000000,12,2019,0.264,0.214,False,False,False,False,False,False,False,False,False,False,False,False,False
4.5,0,11432,0,1064275200000000000,12,2019,0.564,0.011,False,False,False,False,False,False,False,False,False,False,False,True,False
12.97,0,6581,0,1743120000000000000,5,2019,0.385,0.725,False,False,False,False,False,False,False,False,False,True,False,False,False
105.8,0,888,0,976752000000000000,3,2019,0.056,0.988,False,False,False,False,True,False,False,False,False,False,False,False,False
54.05,0,321,0,1278460800000000000,12,2019,0.544,0.07,False,False,False,False,False,False,False,False,False,False,False,False,False
52.94,1,970,0,823046400000000000,10,2019,0.854,0.816,True,False,False,False,False,False,False,False,False,False,False,False,False
84.44,1,238602,0,829699200000000000,8,2019,0.91,0.803,False,False,False,False,False,True,False,False,False,False,False,False,False
12.95,0,69,0,885168000000000000,6,2019,0.844,0.725,False,False,False,False,False,False,False,False,False,False,False,False,False
47.52,1,190178,0,1477180800000000000,1,2020,0.285,0.429,False,False,False,False,False,True,False,False,False,False,False,False,False
72.81,0,346,0,1364256000000000000,3,2020,0.221,0.886,False,False,False,False,False,True,False,False,False,False,False,False,False
69.76,1,105549,0,1450742400000000000,9,2019,0.377,0.118,False,True,False,False,False,False,False,False,False,False,False,False,False
61.45,1,970,0,827452800000000000,12,2019,0.539,0.651,True,False,False,False,False,False,False,False,False,False,False,False,False
78.07,0,21902,0,1222473600000000000,6,2019,0.234,0.996,False,False,False,False,False,True,False,False,False,False,False,False,False
3.49,0,241,0,1216166400000000000,7,2019,0.039,0.776,False,False,False,False,False,False,False,False,False,False,False,False,True
55.31,1,757530,0,1279929600000000000,11,2019,0.76,0.887,False,True,False,False,False,False,False,False,False,False,False,False,False
134.26,0,3343,0,930355200000000000,12,2019,0.416,0.672,False,False,False,False,False,False,False,True,False,False,False,False,False
62.75,1,47772,0,1702857600000000000,12,2019,0.676,0.377,True,False,False,False,False,False,False,False,False,False,False,False,False
134.77,0,1577385,0,1198800000000000000,8,2019,0.398,0.9,False,False,False,False,True,False,False,False,False,False,False,False,False
19.96,1,1426,0,1975190400000000000,10,2019,0.836,0.423,True,False,False,False,False,False,False,False,False,False,False,False,False
15.08,0,46563,0,1541030400000000000,7,2019,0.036,0.994,False,False,False,False,False,False,False,False,False,False,False,False,False
41.88,0,3508,0,2313360000000000000,12,2019,0.597,0.114,False,False,False,False,False,True,False,False,False,False,False,False,False
54.65,0,4161,0,1972512000000000000,12,2019,0.715,0.573,False,False,False,False,False,False,False,False,False,False,True,False,False
2.16,0,1923,0,1881360000000000000,8,2019,0.221,0.532,False,False,False,False,False,False,False,False,False,False,False,False,True
5.56,1,4664,0,1725667200000000000,3,2020,0.233,0.476,False,False,False,False,False,False,False,False,True,False,False,False,False
9.87,1,128715,0,763171200000000000,7,2019,0.588,0.132,False,False,False,False,False,False,False,False,False,False,False,True,False
27.4,1,1762,0,1804377600000000000,7,2019,0.888,0.215,False,False,False,False,False,False,False,False,False,False,False,False,False
92.14,1,214703,0,767750400000000000,2,2019,0.024,0.531,False,False,False,False,True,False,False,False,False,False,False,False,False
2.75,0,4512,0,851126400000000000,9,2019,0.792,0.749,False,False,False,False,False,False,True,False,False,False,False,False,False
29.37,1,48194,0,941500800000000000,3,2020,0.546,0.499,False,False,False,False,False,False,False,True,False,False,False,False,False
36.18,1,1514,0,1666310400000000000,10,2019,0.86,0.84,False,False,False,False,False,False,False,False,False,True,False,False,False
236.23,0,87124,0,1033171200000000000,11,2019,0.289,0.503,False,False,False,False,False,True,False,False,False,False,False,False,False
34.21,0,927396,0,1884988800000000000,12,2019,0.414,0.778,False,False,False,False,False,True,False,False,False,False,False,False,False
94.97,0,1617,0,908668800000000000,2,2019,0.379,0.489,False,False,False,False,False,False,False,False,True,False,False,False,False
149.81,0,718,0,1076371200000000000,4,2019,0.432,0.297,False,False,False,True,False,False,False,False,False,False,False,False,False
4.15,0,1146,0,2860704000000000000,12,2019,0.174,0.236,False,False,False,False,False,True,False,False,False,False,False,False,False
42.44,0,15647,0,1954281600000000000,11,2019,0.26,0.405,False,False,False,False,False,True,False,False,False,False,False,False,False
9.75,0,1643,0,1365033600000000000,7,2019,0.803,0.864,False,False,False,False,False,False,False,False,False,False,False,False,True
17.8,0,241,0,1412726400000000000,8,2019,0.631,0.458,False,False,False,False,False,True,False,False,False,False,False,False,False
2.2,1,450,0,2289945600000000000,3,2019,0.809,0.389,False,False,False,False,False,False,False,False,False,False,True,False,False
9.97,0,50835,0,1043884800000000000,2,2019,0.768,0.505,False,False,False,False,False,False,False,False,False,False,True,False,False
69.94,1,20328,0,1093478400000000000,2,2020,0.272,0.803,False,False,False,True,False,False,False,False,False,False,False,False,False
5.99,0,77,0,945993600000000000,12,2019,0.363,0.401,False,False,False,False,False,False,False,False,False,False,True,False,False
80.79,0,1363,0,2478643200000000000,3,2019,0.655,0.698,False,False,False,False,False,False,True,False,False,False,False,False,False
16.59,0,3495,0,993945600000000000,9,2019,0.691,0.466,True,False,False,False,False,False,False,False,False,False,False,False,False
8.78,0,1606,0,1677542400000000000,7,2019,0.188,0.369,False,False,False,False,False,False,False,False,False,False,False,False,True
3.64,0,7565,0,2113862400000000000,3,2019,0.966,0.262,False,False,False,False,False,False,False,False,False,False,False,True,False
10.23,0,4090,0,1345334400000000000,11,2019,0.947,0.132,False,False,False,False,False,False,False,False,False,False,True,False,False
60.41,0,10295,0,686016000000000000,9,2019,0.949,0.192,False,True,False,False,False,False,False,False,False,False,False,False,False
161.84,1,74,0,2369001600000000000,6,2019,0.436,0.348,False,False,False,True,False,False,False,False,False,False,False,False,False
6.24,0,1725,0,1410048000000000000,8,2019,0.045,0.102,False,False,False,False,False,False,False,False,False,False,True,False,False
32.74,0,34882,0,1540166400000000000,2,2020,0.98,0.522,False,False,False,False,False,False,False,True,False,False,False,False,False
305.63,0,35371,0,971913600000000000,6,2019,0.578,0.461,False,False,False,False,True,False,False,False,False,False,False,False,False
2.37,1,276896,0,702518400000000000,6,2019,0.328,0.004,False,False,False,False,False,False,False,False,True,False,False,False,False
7.47,0,8874,0,585792000000000000,3,2019,0.677,0.654,False,False,False,False,False,False,True,False,False,False,False,False,False
87.86,1,248858,0,1525651200000000000,6,2019,0.936,0.2,False,False,False,False,False,False,True,False,False,False,False,False,False
2.62,1,153,0,1825200000000000000,12,2019,0.598,0.857,False,False,False,False,False,False,False,False,False,False,False,True,False
67.49,0,5950,0,1529712000000000000,12,2019,0.175,0.935,False,False,False,False,False,False,True,False,False,False,False,False,False
9.61,0,1643,0,1376697600000000000,11,2019,0.252,0.884,False,False,False,False,False,False,False,False,True,False,False,False,False
71.17,1,9051,0,1165449600000000000,12,2019,0.056,0.519,False,True,False,False,False,False,False,False,False,False,False,False,False
1.79,0,540,0,1123977600000000000,5,2019,0.663,0.367,True,False,False,False,False,False,False,False,False,False,False,False,False
526.2,0,19685,0,1098489600000000000,10,2019,0.891,0.813,False,False,False,False,False,False,False,False,False,False,True,False,False
7.71,1,1196,0,1926288000000000000,6,2019,0.147,0.261,False,False,False,False,True,False,False,False,False,False,False,False,False
181.05,1,409656,0,1050796800000000000,4,2019,0.359,0.271,False,False,False,False,False,False,True,False,False,False,False,False,False
48.75,0,5161,0,825292800000000000,6,2019,0.399,0.082,False,False,True,False,False,False,False,False,False,False,False,False,False
60.02,0,1312922,0,1178409600000000000,2,2019,0.294,0.8,False,False,False,False,False,False,False,False,False,True,False,False,False
43.75,0,4993,0,2243635200000000000,1,2020,0.948,0.842,False,True,False,False,False,False,False,False,False,False,False,False,False
4.14,1,5791,0,1906675200000000000,3,2020,0.663,0.02,False,False,False,False,False,False,False,False,False,False,False,True,False
91.66,0,1526206,0,1104969600000000000,1,2020,0.243,0.39,False,False,False,False,False,False,False,False,False,True,False,False,False
59.24,0,1847,0,973382400000000000,8,2019,0.456,0.135,False,False,True,False,False,False,False,False,False,False,False,False,False
1.04,0,320420,0,1403308800000000000,1,2020,0.078,0.832,False,False,False,False,False,False,False,True,False,False,False,False,False
51.17,1,333497,0,1634083200000000000,12,2019,0.159,0.51,True,False,False,False,False,False,False,False,False,False,False,False,False
34.53,0,13973,0,1202428800000000000,6,2019,0.518,0.548,False,False,False,False,False,False,False,False,False,False,False,True,False
59.79,0,5989,0,1648598400000000000,8,2019,0.667,0.754,False,True,False,False,False,False,False,False,False,False,False,False,False
66.79,0,1526206,0,1499731200000000000,12,2019,0.074,0.772,False,False,True,False,False,False,False,False,False,False,False,False,False
127.54,0,269,0,1706832000000000000,10,2019,0.768,0.317,False,False,False,True,False,False,False,False,False,False,False,False,False
1.98,0,836,0,1191283200000000000,5,2019,0.801,0.243,False,False,False,False,False,False,False,False,False,False,False,True,False
78.39,1,885,0,989971200000000000,1,2020,0.841,0.198,False,False,False,False,False,False,False,False,False,True,False,False,False
8.09,0,276002,0,2701641600000000000,2,2020,0.357,0.857,False,False,False,False,False,False,False,False,True,False,False,False,False
107.71,1,145,0,2517609600000000000,8,2019,0.985,0.294,False,False,False,True,False,False,False,False,False,False,False,False,False
8.52,0,337,0,2062886400000000000,11,2019,0.791,0.492,False,False,False,False,False,False,False,False,False,False,True,False,False
8.26,0,2644,0,1136419200000000000,8,2019,0.051,0.698,False,False,False,False,False,False,False,False,False,False,False,False,True
90.45,1,254282,0,2141683200000000000,12,2019,0.65,0.937,False,False,False,False,False,True,False,False,False,False,False,False,False
44.37,0,3862,0,1798329600000000000,12,2019,0.758,0.435,False,False,False,False,False,True,False,False,False,False,False,False,False
146.6,1,1063,0,2863900800000000000,1,2019,0.79,0.525,False,False,False,False,False,False,True,False,False,False,False,False,False
52.59,0,207,0,1804550400000000000,12,2019,0.254,0.371,True,False,False,False,False,False,False,False,False,False,False,False,False
17.54,0,271,0,1487462400000000000,6,2019,0.081,0.098,False,False,False,False,False,False,False,False,False,False,False,False,False
25.93,0,5950,0,1518912000000000000,8,2019,0.761,0.582,False,False,False,False,False,True,False,False,False,False,False,False,False
7.09,1,301,0,1669248000000000000,2,2020,0.297,0.156,False,False,False,False,False,False,False,False,False,False,True,False,False
3.9,0,509,0,1227398400000000000,8,2019,0.183,0.015,False,False,False,False,True,False,False,False,False,False,False,False,False
31.02,1,1700,0,550627200000000000,6,2019,0.381,0.837,False,False,False,True,False,False,False,False,False,False,False,False,False
65.86,0,1312922,0,626486400000000000,10,2019,0.284,0.075,False,False,False,True,False,False,False,False,False,False,False,False,False
32.28,1,55581,0,1480550400000000000,8,2019,0.181,0.429,False,False,False,False,True,False,False,False,False,False,False,False,False
55.49,0,242,0,993859200000000000,1,2019,0.428,0.627,False,False,False,False,False,True,False,False,False,False,False,False,False
33.24,0,1791,0,1694476800000000000,4,2019,0.34,0.869,False,False,False,False,False,False,False,False,False,True,False,False,False
823.12,1,239,0,2007849600000000000,12,2019,0.815,0.497,False,False,False,False,False,False,False,False,False,False,True,False,False
58.23,1,2443,0,2455228800000000000,8,2019,0.362,0.636,True,False,False,False,False,False,False,False,False,False,False,False,False
72.1,1,123,0,1463443200000000000,6,2019,0.298,0.177,False,True,False,False,False,False,False,False,False,False,False,False,False
117.48,1,409656,0,1054598400000000000,5,2019,0.842,0.391,False,False,False,False,False,True,False,False,False,False,False,False,False
1.9,0,307,0,2797891200000000000,4,2019,0.931,0.172,True,False,False,False,False,False,False,False,False,False,False,False,False
531.27,1,143,0,1195344000000000000,1,2020,0.776,0.499,False,False,False,False,False,False,False,False,False,False,False,False,True
22.93,0,260,0,1987891200000000000,8,2019,0.597,0.095,False,False,False,False,False,False,False,False,False,False,False,False,False
7.94,0,6508,0,1215561600000000000,12,2019,0.997,0.331,False,False,False,False,False,False,False,True,False,False,False,False,False
24.94,1,1595797,0,1390089600000000000,1,2020,0.442,0.369,True,False,False,False,False,False,False,False,False,False,False,False,False
31.54,0,516,0,1673740800000000000,6,2019,0.92,0.97,True,False,False,False,False,False,False,False,False,False,False,False,False
122.61,0,1749,0,1456531200000000000,7,2019,0.629,0.494,False,False,False,False,False,False,False,False,False,False,False,False,False
23.6,1,3688,0,1460678400000000000,9,2019,0.795,0.091,False,False,False,False,True,False,False,False,False,False,False,False,False
77.59,0,84106,0,1536883200000000000,10,2019,0.043,0.235,False,False,False,False,False,False,True,False,False,False,False,False,False
13.9,0,3430,0,2202854400000000000,1,2020,0.125,0.662,False,False,False,False,False,False,False,False,False,False,False,False,True
2.02,0,475,0,2005084800000000000,5,2019,0.291,0.048,False,False,False,False,False,False,False,False,False,False,True,False,False
37.89,0,71485,0,1419206400000000000,7,2019,0.457,0.087,False,False,False,False,False,False,False,False,False,False,True,False,False
7.25,1,129,0,1684713600000000000,5,2019,0.903,0.301,False,False,False,False,False,False,False,False,False,True,False,False,False
4.7,0,504,0,1227139200000000000,7,2019,0.57,0.275,False,False,False,False,False,False,False,False,False,False,True,False,False
114.48,0,137067,0,2146694400000000000,12,2019,0.507,0.774,False,False,False,True,False,False,False,False,False,False,False,False,False
139.73,1,5662,0,940982400000000000,2,2019,0.47,0.879,False,False,False,False,False,True,False,False,False,False,False,False,False
8.81,0,16183,0,1339545600000000000,1,2020,0.617,0.126,False,False,False,False,False,False,True,False,False,False,False,False,False
137.06,1,86954,0,843177600000000000,4,2019,0.923,0.391,True,False,False,False,False,False,False,False,False,False,False,False,False
110.3,1,1532,0,1238976000000000000,4,2019,0.965,0.6,False,False,False,True,False,False,False,False,False,False,False,False,False
6.38,0,1577385,0,1828137600000000000,4,2019,0.917,0.151,False,False,False,False,False,False,False,False,False,False,False,False,True
9.35,0,1526206,0,1077753600000000000,2,2019,0.102,0.399,False,False,False,False,False,False,False,False,False,False,False,False,True
38.92,0,1038,0,1736121600000000000,4,2019,0.973,0.119,False,False,False,False,False,False,False,False,False,True,False,False,False
130.03,1,8512,0,2136844800000000000,5,2019,0.933,0.305,False,False,False,False,False,True,False,False,False,False,False,False,False
48.65,1,3688,0,1441497600000000000,1,2019,0.17,0.949,False,True,False,False,False,False,False,False,False,False,False,False,False
